2026-04-27 06:41:35,1,1.72,0,1.0,0
2026-04-27 06:42:31,2,0.07,0,1.0,0
2026-04-27 06:42:54,1,0.70,0,1.0,0
2026-04-27 06:51:32,1,0.03,0,1.0,0
2026-04-27 06:51:34,0,0.07,0,1.0,0
2026-04-27 06:51:41,1,0.24,0,1.0,0
2026-04-27 06:51:50,1,0.07,0,1.0,0
2026-04-27 06:52:01,2,0.17,0,1.0,0
2026-04-27 06:52:24,0,0.07,0,1.0,0
2026-04-27 06:54:15,0,0.07,0,1.0,0
2026-04-27 06:54:16,1,0.03,0,1.0,0
2026-04-27 06:54:17,0,0.03,0,1.0,0
2026-04-27 06:54:18,1,0.03,0,1.0,0
2026-04-27 06:54:24,2,0.21,0,1.0,0
2026-04-27 06:54:30,1,0.03,0,1.0,0
2026-04-27 06:54:49,1,0.03,0,1.0,0
2026-04-27 06:57:44,0,0.14,0,1.0,0
2026-04-27 06:57:46,0,0.07,0,1.0,0
2026-04-27 06:57:48,0,0.07,0,1.0,0
2026-04-27 06:57:58,2,0.07,0,1.0,0
2026-04-27 06:58:56,1,1.48,0,1.0,0
2026-04-28 07:26:22,1,0.66,0,1.0,0
2026-04-28 07:27:44,1,0.03,0,1.0,0
2026-04-28 07:30:58,0,1.55,0,1.0,0
2026-04-28 07:52:51,1,0.21,0,1.0,0
2026-04-28 07:55:20,2,2.08,0,1.0,0
2026-04-28 08:19:37,1,0.21,0,1.0,0
2026-04-28 08:26:54,1,0.21,0,1.0,0
2026-04-28 08:45:13,0,0.07,0,1.0,0
2026-04-28 08:53:42,0,0.18,0,1.0,0
2026-04-28 08:55:15,2,0.43,0,1.0,0
2026-04-28 08:55:28,2,0.14,0,1.0,0
2026-04-28 08:57:00,2,2.84,0,1.0,0
2026-04-30 18:55:38,1,0.07,0,1.0,0
