data,nome,km,tempo
2026-05-07 11:49:23,1,0.28,0,1.0,0
2026-05-07 11:50:08,0,0.50,0,1.0,0
2026-05-07 11:58:33,1,36.85,0,105.0,0
2026-05-07 11:59:47,1,60.04,0,120.0,0
2026-05-07 22:01:13,2,3.05,0,60.0,0
2026-05-07 22:02:15,2,77.30,0,120.0,0
2026-05-07 22:03:33,2,1.01,0,60.0,0
2026-05-07 22:03:36,0,1.01,0,60.0,0
2026-05-07 22:03:54,0,3.03,0,60.0,0
2026-05-07 22:05:45,1,1.05,0,60.0,0
2026-05-07 22:07:37,1,2.00,0,60.0,0
2026-05-07 22:10:03,1,1.98,0,60.0,0
2026-05-07 22:11:55,2,1.98,0,60.0,0
2026-05-07 22:17:33,2,1.99,0,60.0,0
2026-05-07 22:20:29,0,5.53,0,68.2,0
2026-05-07 22:20:45,2,15.14,0,82.6,0
2026-05-07 22:20:54,1,8.21,0,72.2,0
2026-05-07 22:21:18,1,29.99,0,104.9,0
2026-05-07 22:22:11,1,104.12,0,215.9,0
2026-05-07 22:23:44,2,287.89,0,300.0,0
2026-05-07 22:23:48,1,3.27,0,64.8,0
2026-05-07 22:23:53,1,3.29,0,64.8,0
2026-05-07 22:27:18,1,4.47,0,66.6,0
2026-05-07 22:27:24,1,2.17,0,63.2,0
2026-05-07 22:28:06,1,41.04,0,121.4,0
2026-05-07 22:28:46,2,56.65,0,144.8,0
2026-05-07 22:29:49,1,7.54,0,71.2,0
2026-05-07 22:29:52,1,1.03,0,61.5,0
2026-05-07 22:29:59,0,3.31,0,64.9,0
2026-05-07 22:30:04,0,3.28,0,64.8,0
2026-05-07 22:30:14,0,4.45,0,66.6,0
2026-05-07 22:30:16,1,1.03,0,61.5,0
2026-05-07 22:30:47,0,43.57,0,125.2,0
2026-05-07 22:31:41,1,23.89,0,95.7,0
2026-05-07 22:32:11,1,41.31,0,121.8,0
2026-05-07 22:34:04,1,128.60,0,252.6,0
