2026-04-30 11:26:02,1,0.10,0,1.0,0
2026-04-30 11:26:05,1,0.03,0,1.0,0
2026-04-30 11:26:07,1,0.03,0,1.0,0
2026-04-30 11:26:50,1,1.32,0,1.0,0
2026-04-30 11:29:33,1,0.03,0,1.0,0
2026-04-30 11:29:35,1,0.03,0,1.0,0
2026-04-30 11:29:38,2,0.03,0,1.0,0
2026-04-30 11:30:04,1,0.82,0,1.0,0
2026-04-30 11:33:11,1,0.11,0,1.0,0
2026-04-30 11:33:32,0,0.10,0,1.0,0
2026-04-30 11:33:41,2,0.25,0,1.0,0
2026-04-30 11:34:14,0,0.17,0,1.0,0
2026-04-30 11:35:27,2,0.03,0,1.0,0
2026-04-30 11:35:31,1,0.03,0,1.0,0
2026-04-30 11:35:33,1,0.03,0,1.0,0
2026-04-30 11:35:51,1,0.07,0,1.0,0
2026-04-30 11:37:54,1,0.07,0,1.0,0
2026-04-30 11:37:57,2,0.03,0,1.0,0
2026-04-30 11:38:09,1,0.07,0,1.0,0
2026-04-30 11:42:52,1,0.03,0,1.0,0
2026-04-30 11:42:55,0,0.03,0,1.0,0
2026-04-30 11:43:36,0,1.28,0,1.0,0
2026-05-01 10:32:44,1,0.96,0,1.0,0
2026-05-01 10:32:59,1,0.07,0,1.0,0
